variant,genre,length_mean,length_std,entropy_mean,entropy_std,unique_ratio_mean,unique_ratio_std,n_unique_mean,n_unique_std
tok=REMI|model=CLaMP-1|vel=on|quant=off,rock,22741.268907563026,11539.352416763359,5.1350335736355985,0.4767259985449303,0.007467506898838749,0.0050121703420749324,130.00840336134453,29.954059683070298
tok=REMI|model=CLaMP-1|vel=on|quant=off,jazz,18185.95798319328,11526.200042228744,5.288806844821224,0.4484261015272647,0.010332232516962702,0.005790243540044311,139.890756302521,32.62259535029763
tok=REMI|model=CLaMP-1|vel=off|quant=off,rock,22741.268907563026,11539.352416763359,4.772836252793041,0.32934069838309044,0.007091651828399969,0.004769662976535622,124.19327731092437,29.825275741667745
tok=REMI|model=CLaMP-1|vel=off|quant=off,jazz,18185.95798319328,11526.200042228744,4.8271642087250095,0.35940296131305327,0.009677871263634024,0.005419813092390993,131.6890756302521,32.58619544966952
tok=REMI|model=CLaMP-1|vel=on|quant=on,rock,22741.268907563026,11539.352416763359,5.1350335736355985,0.4767259985449303,0.007467506898838749,0.0050121703420749324,130.00840336134453,29.954059683070298
tok=REMI|model=CLaMP-1|vel=on|quant=on,jazz,18185.95798319328,11526.200042228744,5.288806844821224,0.4484261015272647,0.010332232516962702,0.005790243540044311,139.890756302521,32.62259535029763
tok=REMI|model=CLaMP-1|vel=off|quant=on,rock,22741.268907563026,11539.352416763359,4.772836252793041,0.32934069838309044,0.007091651828399969,0.004769662976535622,124.19327731092437,29.825275741667745
tok=REMI|model=CLaMP-1|vel=off|quant=on,jazz,18185.95798319328,11526.200042228744,4.8271642087250095,0.35940296131305327,0.009677871263634024,0.005419813092390993,131.6890756302521,32.58619544966952
tok=REMI|model=CLaMP-2|vel=on|quant=off,rock,22741.268907563026,11539.352416763359,5.1350335736355985,0.4767259985449303,0.007467506898838749,0.0050121703420749324,130.00840336134453,29.954059683070298
tok=REMI|model=CLaMP-2|vel=on|quant=off,jazz,18185.95798319328,11526.200042228744,5.288806844821224,0.4484261015272647,0.010332232516962702,0.005790243540044311,139.890756302521,32.62259535029763
tok=REMI|model=CLaMP-2|vel=off|quant=off,rock,22741.268907563026,11539.352416763359,4.772836252793041,0.32934069838309044,0.007091651828399969,0.004769662976535622,124.19327731092437,29.825275741667745
tok=REMI|model=CLaMP-2|vel=off|quant=off,jazz,18185.95798319328,11526.200042228744,4.8271642087250095,0.35940296131305327,0.009677871263634024,0.005419813092390993,131.6890756302521,32.58619544966952
tok=REMI|model=CLaMP-2|vel=on|quant=on,rock,22741.268907563026,11539.352416763359,5.1350335736355985,0.4767259985449303,0.007467506898838749,0.0050121703420749324,130.00840336134453,29.954059683070298
