model,tokenizer,genre,sample_id,song_key,pc1,pc2,pc1_var,pc2_var
MusicBERT,REMI,rock,015df70fb946383e401ab07e55293e6d.mid,rock/015df70fb946383e401ab07e55293e6d.mid,-1.1642779111862183,1.6112148761749268,0.23552894592285156,0.20310427248477936
MusicBERT,TSD,rock,015df70fb946383e401ab07e55293e6d.mid,rock/015df70fb946383e401ab07e55293e6d.mid,-2.8587329387664795,2.679373264312744,0.23552894592285156,0.20310427248477936
MusicBERT,MIDI-Like,rock,0189ca666e647a9a323d27b79b1e806c.mid,rock/0189ca666e647a9a323d27b79b1e806c.mid,4.082846641540527,1.2965742349624634,0.23552894592285156,0.20310427248477936
MusicBERT,Octuple,rock,0189ca666e647a9a323d27b79b1e806c.mid,rock/0189ca666e647a9a323d27b79b1e806c.mid,0.9865267276763916,-6.76633358001709,0.23552894592285156,0.20310427248477936
MusicBERT,REMI,rock,0189ca666e647a9a323d27b79b1e806c.mid,rock/0189ca666e647a9a323d27b79b1e806c.mid,-1.3300577402114868,1.9361276626586914,0.23552894592285156,0.20310427248477936
MusicBERT,TSD,rock,0189ca666e647a9a323d27b79b1e806c.mid,rock/0189ca666e647a9a323d27b79b1e806c.mid,-2.155362367630005,2.042398452758789,0.23552894592285156,0.20310427248477936
MusicBERT,MIDI-Like,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,4.071804523468018,1.747233510017395,0.23552894592285156,0.20310427248477936
MusicBERT,Octuple,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,-0.42011064291000366,-5.016336917877197,0.23552894592285156,0.20310427248477936
MusicBERT,REMI,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,-1.586904525756836,1.1865912675857544,0.23552894592285156,0.20310427248477936
MusicBERT,TSD,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,-1.9577958583831787,1.271674394607544,0.23552894592285156,0.20310427248477936
MusicBERT,MIDI-Like,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,3.4227454662323,0.6934753060340881,0.23552894592285156,0.20310427248477936
MusicBERT,Octuple,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,-2.6624302864074707,-4.284631729125977,0.23552894592285156,0.20310427248477936
MusicBERT,REMI,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,-2.1555697917938232,1.279252529144287,0.23552894592285156,0.20310427248477936
MusicBERT,TSD,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,-2.8557844161987305,1.0394384860992432,0.23552894592285156,0.20310427248477936
