,source,F,p,eta_sq,partial_eta_sq
0,tokenizer,2.5300221173777797,0.07745238734461908,0.21326361904010263,0.2132636190401026
1,model,0.5588626243483363,0.4605389102039369,0.018288070181743356,0.01828807018174336
2,preprocess,0.5163539057915743,0.6744137982120457,0.0524233808907672,0.05242338089076721
