model,n_tokenizers,n_common_songs,same_song_cross_tokenizer_cosine_mean,same_song_cross_tokenizer_cosine_std,different_song_cosine_mean,different_song_cosine_std,cosine_gap,cross_tokenizer_nn_accuracy
MusicBERT,4,237,0.9357441143563696,0.021200965615117893,0.9440846606712865,0.011273116122003428,-0.008340546314916875,0.007383966244725738
MusicBERT-large,4,237,0.719027951738389,0.3956614071305923,0.7371846465771796,0.26728194789961235,-0.018156694838790677,0.006329113924050633
MERT,4,237,-0.0010039479101068372,0.036279652250442856,-4.272164491071519e-05,0.0011306237618565972,-0.0009612262651961219,0.0010548523206751054
NLP-Baseline,4,237,0.6508838524504889,0.09941672840938655,0.7137196719945372,0.05000604219880175,-0.06283581954404838,0.005274261603375527
CLaMP-1,4,237,0.7713249057908601,0.08185948961954978,0.7993208612385624,0.031329653594977795,-0.02799595544770228,0.02109704641350211
CLaMP-2,4,237,0.566611078776585,0.27473804953409586,0.5952429297500912,0.1613488672128064,-0.02863185097350618,0.0031645569620253164
