model,tokenizer,genre,sample_id,song_key,tsne1,tsne2
MusicBERT,MIDI-Like,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,33.42034149169922,14.240878105163574
MusicBERT,Octuple,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,1.7345781326293945,-35.26657485961914
MusicBERT,REMI,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,0.6239734888076782,6.7130045890808105
MusicBERT,TSD,rock,01985624e83ed9f09436086b447dd5e0.mid,rock/01985624e83ed9f09436086b447dd5e0.mid,-43.30804443359375,11.403058052062988
MusicBERT,MIDI-Like,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,36.31790542602539,18.025320053100586
MusicBERT,Octuple,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,-5.8189873695373535,-43.01565170288086
MusicBERT,REMI,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,0.035251371562480927,-2.7486400604248047
MusicBERT,TSD,rock,01cf62a7509fcafece5a9004b24ae536.mid,rock/01cf62a7509fcafece5a9004b24ae536.mid,-43.61601257324219,15.478185653686523
MusicBERT,MIDI-Like,rock,01d158f380bc294eae670ec45e45e761.mid,rock/01d158f380bc294eae670ec45e45e761.mid,34.31417465209961,12.442168235778809
MusicBERT,Octuple,rock,01d158f380bc294eae670ec45e45e761.mid,rock/01d158f380bc294eae670ec45e45e761.mid,-8.059757232666016,-35.438987731933594
MusicBERT,REMI,rock,01d158f380bc294eae670ec45e45e761.mid,rock/01d158f380bc294eae670ec45e45e761.mid,-2.7896502017974854,-3.469332218170166
MusicBERT,TSD,rock,01d158f380bc294eae670ec45e45e761.mid,rock/01d158f380bc294eae670ec45e45e761.mid,-43.77251052856445,13.971345901489258
MusicBERT,MIDI-Like,rock,01ffb8729a2465bfa7f9ba0288c89e24.mid,rock/01ffb8729a2465bfa7f9ba0288c89e24.mid,36.20329666137695,10.124070167541504
MusicBERT,Octuple,rock,01ffb8729a2465bfa7f9ba0288c89e24.mid,rock/01ffb8729a2465bfa7f9ba0288c89e24.mid,8.240983963012695,-32.189605712890625
MusicBERT,REMI,rock,01ffb8729a2465bfa7f9ba0288c89e24.mid,rock/01ffb8729a2465bfa7f9ba0288c89e24.mid,-2.664738655090332,1.8971308469772339
MusicBERT,TSD,rock,01ffb8729a2465bfa7f9ba0288c89e24.mid,rock/01ffb8729a2465bfa7f9ba0288c89e24.mid,-38.441165924072266,7.837070941925049
MusicBERT,MIDI-Like,rock,020ae8f827b69c9e6f953284f75542c6.mid,rock/020ae8f827b69c9e6f953284f75542c6.mid,31.992891311645508,4.58927059173584
MusicBERT,Octuple,rock,020ae8f827b69c9e6f953284f75542c6.mid,rock/020ae8f827b69c9e6f953284f75542c6.mid,-5.339046955108643,-45.05207061767578
MusicBERT,REMI,rock,020ae8f827b69c9e6f953284f75542c6.mid,rock/020ae8f827b69c9e6f953284f75542c6.mid,-1.2122746706008911,8.14180850982666
MusicBERT,TSD,rock,020ae8f827b69c9e6f953284f75542c6.mid,rock/020ae8f827b69c9e6f953284f75542c6.mid,-40.63651657104492,13.967954635620117
