,sum_sq,df,F,PR(>F)
C(tokenizer),200.30400806493515,3.0,59.510814128159076,7.930649662884969e-38
C(model),190194.64416436706,5.0,33904.37832886807,0.0
C(preprocess),202.4080605496513,3.0,60.13593330347405,3.218846578839568e-38
C(tokenizer):C(model),679.8714627262538,15.0,40.39829720853651,1.0659644746924152e-112
C(tokenizer):C(preprocess),46.649963085601804,9.0,4.6199396425669494,4.153060485495553e-06
C(model):C(preprocess),431.66784733771743,15.0,25.649916121188696,5.81476567246837e-70
C(tokenizer):C(model):C(preprocess),115.72621923387688,45.0,2.2921696505607616,2.1984205620162866e-06
Residual,5894.711595928245,5254.0,,
