,sum_sq,df,F,PR(>F)
C(tokenizer),0.06306386127087042,3.0,1765.8527087763052,0.0
C(model),1.0083453750227087,5.0,16940.821979338976,0.0
C(preprocess),0.007411642473588572,3.0,207.53358063904759,3.2240712307339717e-127
C(tokenizer):C(model),0.34941137901978225,15.0,1956.7752994672624,0.0
C(tokenizer):C(preprocess),0.005284265680444655,9.0,49.321617154752374,3.1388850684148668e-86
C(model):C(preprocess),0.027533308599246176,15.0,154.19216835684168,0.0
C(tokenizer):C(model):C(preprocess),0.020656797096723106,45.0,38.56076509621092,3.925129243779679e-286
Residual,0.0625453311159348,5254.0,,
