,sum_sq,df,F,PR(>F)
C(tokenizer),0.27841021242259717,3.0,108.24657411910978,5.286317463816629e-68
C(model),14.157126775359991,5.0,3302.59538858408,0.0
C(preprocess),0.07240569451532804,3.0,28.15151179189623,4.7170121317258335e-18
C(tokenizer):C(model),0.5805678210741485,15.0,45.1452388389271,3.364568679974638e-126
C(tokenizer):C(preprocess),0.06735173202751338,9.0,8.728839589524227,3.975322672033799e-13
C(model):C(preprocess),0.10457711377661275,15.0,8.13196771704621,1.3632115108893683e-18
C(tokenizer):C(model):C(preprocess),0.2371899988239138,45.0,6.148003591437328,5.473738838841365e-34
Residual,4.504429718206017,5254.0,,
