metric,factor,eta_sq,F,p
fmd,tokenizer,0.0009917950260590466,1.7691333540982404,0.1507612260243385
fmd,model,0.9617188373303228,26850.93716217885,0.0
fmd,preprocess,0.001063502511147227,1.8971791296328233,0.12775900975103283
fmd,pair,0.006674336610920531,7.181462467619442,1.042755529645661e-06
nfmd_trace,tokenizer,0.014191956582220784,25.654149201133688,1.7969773538435907e-16
nfmd_trace,model,0.7079387194999827,2590.705971384446,0.0
nfmd_trace,preprocess,0.003809473534425665,6.814441272024177,0.00013981817037131137
nfmd_trace,pair,0.0959254012618819,113.40332867641797,2.950670386650935e-114
nfmd_norm,tokenizer,0.04139258194794983,76.9465994547953,1.0049968133831936e-48
nfmd_norm,model,0.6533816597732292,2014.7067737637617,0.0
nfmd_norm,preprocess,0.005292884416624086,9.482107730668517,3.0319722456518003e-06
nfmd_norm,pair,0.006630853765224029,7.134363424849592,1.1613250106505206e-06
