pair,mean_fmd,std_fmd,n
electronic_vs_country,0.26813402606640013,0.10022153719189393,320
jazz_vs_country,0.15696804436156525,0.06333039294252214,320
jazz_vs_electronic,0.24078887118957937,0.08101296714862428,320
rock_vs_country,0.1891174063552171,0.06923833521080182,320
rock_vs_electronic,0.17663955244934187,0.06297881184069654,320
rock_vs_jazz,0.17715013801353052,0.06880867241714005,320
