n_per_cell,total_rows,resample,factor,eta_sq,p_value,significant
5,1440,10,tokenizer,0.01941529489205522,3.354669050540755e-06,True
5,1440,10,model,0.7788326328024597,0.0,True
5,1440,10,preprocess,0.0024614715817397226,0.31557766501249856,False
5,1440,11,tokenizer,0.01997097583357447,2.2627084829937547e-06,True
5,1440,11,model,0.7764082138932556,0.0,True
5,1440,11,preprocess,0.002196075065301862,0.3678812863660531,False
5,1440,12,tokenizer,0.019907544756449923,2.3668098903788715e-06,True
5,1440,12,model,0.7798903469175859,0.0,True
5,1440,12,preprocess,0.002236912172741334,0.35937376952150085,False
5,1440,13,tokenizer,0.019517568754406103,3.1202686539981336e-06,True
5,1440,13,model,0.7775023318890926,0.0,True
5,1440,13,preprocess,0.0022245961072434764,0.3619215272638593,False
5,1440,14,tokenizer,0.01969993065284745,2.742074378638301e-06,True
5,1440,14,model,0.7788141003183818,0.0,True
5,1440,14,preprocess,0.0022473926989393734,0.35721791934116454,False
5,1440,15,tokenizer,0.018860649268477997,4.967030921289799e-06,True
5,1440,15,model,0.779341992844193,0.0,True
5,1440,15,preprocess,0.0023046336120396953,0.3456398051345448,False
5,1440,16,tokenizer,0.019434065567970022,3.3103719287732144e-06,True
5,1440,16,model,0.7786327269904212,0.0,True
5,1440,16,preprocess,0.002467422007230371,0.31448389209990607,False
5,1440,17,tokenizer,0.01971652267247595,2.71002012616681e-06,True
5,1440,17,model,0.7780361691541356,0.0,True
5,1440,17,preprocess,0.0017296609604468126,0.4776797312927996,False
5,1440,18,tokenizer,0.0199154432260704,2.3535914219108966e-06,True
5,1440,18,model,0.777484422680852,0.0,True
5,1440,18,preprocess,0.0023310184831366924,0.3404136506448948,False
5,1440,19,tokenizer,0.019011938478884334,4.4630341459420675e-06,True
5,1440,19,model,0.7758394816654974,0.0,True
5,1440,19,preprocess,0.0022508053399806823,0.3565183518798853,False
5,1440,20,tokenizer,0.019447023177610115,3.2801335649926218e-06,True
5,1440,20,model,0.783112309409606,0.0,True
5,1440,20,preprocess,0.0020538158864688958,0.39887533604124326,False
5,1440,21,tokenizer,0.02011449380284663,2.043702561940378e-06,True
5,1440,21,model,0.7845194104422697,0.0,True
5,1440,21,preprocess,0.002179932210710848,0.37129169487300034,False
5,1440,22,tokenizer,0.019844660335150067,2.474722985457687e-06,True
5,1440,22,model,0.7788099163883639,0.0,True
5,1440,22,preprocess,0.0022233845092495216,0.3621730028175188,False
5,1440,23,tokenizer,0.019311537349098584,3.610396266476566e-06,True
5,1440,23,model,0.778225060941051,0.0,True
5,1440,23,preprocess,0.002056594517404091,0.39824944346728275,False
5,1440,24,tokenizer,0.01939275262833104,3.4086478262277823e-06,True
5,1440,24,model,0.7801179722523073,0.0,True
5,1440,24,preprocess,0.0018812001450406414,0.4393971663643006,False
5,1440,25,tokenizer,0.019482086014161196,3.199682250666919e-06,True
5,1440,25,model,0.7788813402648542,0.0,True
5,1440,25,preprocess,0.0020600856688964622,0.39746422514618673,False
5,1440,26,tokenizer,0.019534639370422803,3.082765695259744e-06,True
5,1440,26,model,0.7801542642670704,0.0,True
5,1440,26,preprocess,0.0021838316041331057,0.37046542001462335,False
5,1440,27,tokenizer,0.019453477434764763,3.2651744928660576e-06,True
5,1440,27,model,0.77828512111046,0.0,True
5,1440,27,preprocess,0.0022704257089353652,0.35251925418724206,False
5,1440,28,tokenizer,0.01974765976051318,2.6508703968699724e-06,True
5,1440,28,model,0.7829733133702531,0.0,True
5,1440,28,preprocess,0.002032719951340658,0.403654240764292,False
5,1440,29,tokenizer,0.01996757942265597,2.2681651559302836e-06,True
5,1440,29,model,0.781221877429883,0.0,True
5,1440,29,preprocess,0.0020974374392944833,0.38914453227932705,False
7,2016,0,tokenizer,0.019485730182972845,1.2938593627305052e-08,True
7,2016,0,model,0.7756976003344318,0.0,True
7,2016,0,preprocess,0.0025900378566630295,0.1564313072020815,False
7,2016,1,tokenizer,0.019380652924243083,1.437430837495203e-08,True
7,2016,1,model,0.7768717040358474,0.0,True
7,2016,1,preprocess,0.002462422440083137,0.17462055245807118,False
7,2016,2,tokenizer,0.019876402506869974,8.747484710678246e-09,True
7,2016,2,model,0.7813171374412203,0.0,True
7,2016,2,preprocess,0.0021179295834826296,0.23405329008114012,False
7,2016,3,tokenizer,0.019531027185703938,1.236469240250321e-08,True
7,2016,3,model,0.775962475543232,0.0,True
7,2016,3,preprocess,0.0023692042645897292,0.18913957189718494,False
7,2016,4,tokenizer,0.01957149290479594,1.1873518581688835e-08,True
7,2016,4,model,0.7760084156172259,0.0,True
7,2016,4,preprocess,0.0023125870001985153,0.19849935920930734,False
7,2016,5,tokenizer,0.01940134724964267,1.4079508587180515e-08,True
7,2016,5,model,0.780372357319126,0.0,True
7,2016,5,preprocess,0.0022608600256411567,0.20742508089831588,False
7,2016,6,tokenizer,0.019730490677003224,1.0124998828444646e-08,True
7,2016,6,model,0.7793356418048155,0.0,True
7,2016,6,preprocess,0.002169830081623498,0.22404005494153537,False
7,2016,7,tokenizer,0.019545288421597373,1.2189317936638428e-08,True
7,2016,7,model,0.777269896518341,0.0,True
7,2016,7,preprocess,0.0023398863888462306,0.19393378872439407,False
7,2016,8,tokenizer,0.019547487850291374,1.216249272871922e-08,True
7,2016,8,model,0.7783626694040535,0.0,True
7,2016,8,preprocess,0.00216235654765642,0.22545724322390426,False
7,2016,9,tokenizer,0.019596219167667718,1.1583023574943764e-08,True
7,2016,9,model,0.778792780880845,0.0,True
7,2016,9,preprocess,0.002150867431670242,0.2276519853317639,False
7,2016,10,tokenizer,0.019606943230530367,1.145924770139363e-08,True
7,2016,10,model,0.776666557902776,0.0,True
7,2016,10,preprocess,0.00251650366792235,0.16668233911665659,False
7,2016,11,tokenizer,0.01971104227658859,1.0324257863078246e-08,True
7,2016,11,model,0.7760893796846764,0.0,True
7,2016,11,preprocess,0.002289480804708268,0.20244146887157488,False
7,2016,12,tokenizer,0.01951327729274057,1.2586488565012438e-08,True
7,2016,12,model,0.7767619500182427,0.0,True
7,2016,12,preprocess,0.0024307802588677757,0.17942789866254463,False
7,2016,13,tokenizer,0.019726428760718034,1.0166295767773812e-08,True
7,2016,13,model,0.7779512932799869,0.0,True
7,2016,13,preprocess,0.0022651240356775094,0.2066754706730035,False
7,2016,14,tokenizer,0.019396385246043132,1.414963999344755e-08,True
7,2016,14,model,0.7792678383371034,0.0,True
7,2016,14,preprocess,0.0020094486690424135,0.25631855750769156,False
7,2016,15,tokenizer,0.019807322142437,9.374642158746345e-09,True
7,2016,15,model,0.7768344749768022,0.0,True
7,2016,15,preprocess,0.0020788079457722385,0.24187057987952806,False
7,2016,16,tokenizer,0.019730198952079083,1.0127959168110844e-08,True
7,2016,16,model,0.7799810663751721,0.0,True
7,2016,16,preprocess,0.0020529386903165065,0.24717013312227673,False
7,2016,17,tokenizer,0.01971001809263715,1.0334858945257746e-08,True
7,2016,17,model,0.7762734549385123,0.0,True
7,2016,17,preprocess,0.0022470554988285045,0.20986920848335872,False
7,2016,18,tokenizer,0.01958062477417121,1.1765396335249422e-08,True
7,2016,18,model,0.7761052334569899,0.0,True
7,2016,18,preprocess,0.002308975262281873,0.1991108152437213,False
7,2016,19,tokenizer,0.019389199027777176,1.4251826120865477e-08,True
7,2016,19,model,0.7777764542904497,0.0,True
7,2016,19,preprocess,0.002426024592603322,0.18016102998191405,False
7,2016,20,tokenizer,0.019552166716858742,1.210562297046151e-08,True
7,2016,20,model,0.7784632041923993,0.0,True
7,2016,20,preprocess,0.002142034160980681,0.22935272160801048,False
7,2016,21,tokenizer,0.019646797987542968,1.1010704196072338e-08,True
7,2016,21,model,0.7793833490887442,0.0,True
7,2016,21,preprocess,0.0021215981000849322,0.23333224657764798,False
7,2016,22,tokenizer,0.019424684922899327,1.3754284586460764e-08,True
7,2016,22,model,0.7810572919375698,0.0,True
7,2016,22,preprocess,0.002058274495682245,0.24606844573117853,False
7,2016,23,tokenizer,0.019558778920026325,1.2025706410897686e-08,True
7,2016,23,model,0.781919907325564,0.0,True
7,2016,23,preprocess,0.0022699818608355408,0.2058245262111741,False
7,2016,24,tokenizer,0.01931372621759868,1.5370531569152362e-08,True
7,2016,24,model,0.7733023278102448,0.0,True
7,2016,24,preprocess,0.002447409528326516,0.1768862127713772,False
7,2016,25,tokenizer,0.019661409340300206,1.0850686987347942e-08,True
7,2016,25,model,0.7774421484571543,0.0,True
7,2016,25,preprocess,0.002344702116322302,0.19313860798875634,False
7,2016,26,tokenizer,0.019629486665129287,1.120334036568271e-08,True
7,2016,26,model,0.7754288418689962,0.0,True
7,2016,26,preprocess,0.0023215685914727753,0.19698635828246164,False
7,2016,27,tokenizer,0.01944135923963648,1.3526519556796654e-08,True
7,2016,27,model,0.7748563025416364,0.0,True
7,2016,27,preprocess,0.002347074909798987,0.19274792525626025,False
7,2016,28,tokenizer,0.019472181336806418,1.3115362577082205e-08,True
7,2016,28,model,0.7808554504939306,0.0,True
7,2016,28,preprocess,0.0022900482943645876,0.20234378631591787,False
7,2016,29,tokenizer,0.019617623121158126,1.1337293294965367e-08,True
7,2016,29,model,0.7780507776457406,0.0,True
7,2016,29,preprocess,0.0021844664866325627,0.22128831622868686,False
10,2880,0,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,0,model,0.7782351960021826,0.0,True
10,2880,0,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,1,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,1,model,0.7782351960021825,0.0,True
10,2880,1,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,2,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,2,model,0.7782351960021825,0.0,True
10,2880,2,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,3,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,3,model,0.7782351960021825,0.0,True
10,2880,3,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,4,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,4,model,0.7782351960021825,0.0,True
10,2880,4,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,5,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,5,model,0.7782351960021826,0.0,True
10,2880,5,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,6,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,6,model,0.7782351960021825,0.0,True
10,2880,6,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,7,tokenizer,0.019577614646684786,2.734670779032107e-12,True
10,2880,7,model,0.7782351960021824,0.0,True
10,2880,7,preprocess,0.002213763862357968,0.09472678222304125,False
10,2880,8,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,8,model,0.7782351960021825,0.0,True
10,2880,8,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,9,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,9,model,0.7782351960021826,0.0,True
10,2880,9,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,10,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,10,model,0.7782351960021826,0.0,True
10,2880,10,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,11,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,11,model,0.7782351960021826,0.0,True
10,2880,11,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,12,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,12,model,0.7782351960021825,0.0,True
10,2880,12,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,13,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,13,model,0.7782351960021825,0.0,True
10,2880,13,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,14,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,14,model,0.7782351960021826,0.0,True
10,2880,14,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,15,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,15,model,0.7782351960021826,0.0,True
10,2880,15,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,16,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,16,model,0.7782351960021826,0.0,True
10,2880,16,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,17,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,17,model,0.7782351960021826,0.0,True
10,2880,17,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,18,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,18,model,0.7782351960021825,0.0,True
10,2880,18,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,19,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,19,model,0.7782351960021826,0.0,True
10,2880,19,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,20,tokenizer,0.019577614646684786,2.734670779032107e-12,True
10,2880,20,model,0.7782351960021824,0.0,True
10,2880,20,preprocess,0.002213763862357968,0.09472678222304125,False
10,2880,21,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,21,model,0.7782351960021826,0.0,True
10,2880,21,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,22,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,22,model,0.7782351960021826,0.0,True
10,2880,22,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,23,tokenizer,0.01957761464668479,2.734670779032107e-12,True
10,2880,23,model,0.7782351960021825,0.0,True
10,2880,23,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,24,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,24,model,0.7782351960021826,0.0,True
10,2880,24,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,25,tokenizer,0.019577614646684786,2.734670779032107e-12,True
10,2880,25,model,0.7782351960021824,0.0,True
10,2880,25,preprocess,0.002213763862357968,0.09472678222304125,False
10,2880,26,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,26,model,0.7782351960021826,0.0,True
10,2880,26,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,27,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,27,model,0.7782351960021826,0.0,True
10,2880,27,preprocess,0.0022137638623579686,0.09472678222304125,False
10,2880,28,tokenizer,0.019577614646684793,2.734670779032107e-12,True
10,2880,28,model,0.7782351960021826,0.0,True
