,sum_sq,df,F,PR(>F)
C(tokenizer),200.3040056666755,3.0,59.51081448660657,7.930645561771006e-38
C(model),190194.6441187349,5.0,33904.37893088806,0.0
C(preprocess),202.40805317734277,3.0,60.135932195369186,3.218851723109917e-38
C(tokenizer):C(model),679.8714575574134,15.0,40.398297628422625,1.0659615292774656e-112
C(tokenizer):C(preprocess),46.64996608515037,9.0,4.619940022766676,4.153054561409629e-06
C(model):C(preprocess),431.66783821438565,15.0,25.64991604068022,5.814768834028537e-70
C(tokenizer):C(model):C(preprocess),115.72621974347301,45.0,2.2921697019048914,2.1984190777433862e-06
Residual,5894.711489845061,5254.0,,
