cov_method,metric,factor,eta_sq,mean_fmd,std_fmd,n
empirical,fmd,tokenizer,0.01253482895888442,3.8139561269794884,3.9315704612304727,240
empirical,fmd,model,0.9101262531766625,3.8139561269794884,3.9315704612304727,240
empirical,fmd,preprocess,0.0013245758238087525,3.8139561269794884,3.9315704612304727,240
empirical,nfmd_trace,tokenizer,0.13020570531696554,0.16611539055445224,0.040927048407020494,240
empirical,nfmd_trace,model,0.21050455302182824,0.16611539055445224,0.040927048407020494,240
empirical,nfmd_trace,preprocess,0.007043141376688688,0.16611539055445224,0.040927048407020494,240
ledoit_wolf,fmd,tokenizer,0.026071458171241544,3.1700105160798615,3.341350755334193,240
ledoit_wolf,fmd,model,0.8671413083350659,3.1700105160798615,3.341350755334193,240
ledoit_wolf,fmd,preprocess,0.000544959247959399,3.1700105160798615,3.341350755334193,240
ledoit_wolf,nfmd_trace,tokenizer,0.07545640267991768,0.14341619695916774,0.033974304982514685,240
ledoit_wolf,nfmd_trace,model,0.06785321032049492,0.14341619695916774,0.033974304982514685,240
ledoit_wolf,nfmd_trace,preprocess,0.0005560141602587107,0.14341619695916774,0.033974304982514685,240
basic_shrinkage,fmd,tokenizer,0.012670493418435623,3.2094702033298557,3.332067004341169,240
basic_shrinkage,fmd,model,0.8955573310650797,3.2094702033298557,3.332067004341169,240
basic_shrinkage,fmd,preprocess,0.001473715281751347,3.2094702033298557,3.332067004341169,240
basic_shrinkage,nfmd_trace,tokenizer,0.13784364851812161,0.14446264307769494,0.03485334618870934,240
basic_shrinkage,nfmd_trace,model,0.13027665967126348,0.14446264307769494,0.03485334618870934,240
basic_shrinkage,nfmd_trace,preprocess,0.003187797018587786,0.14446264307769494,0.03485334618870934,240
oas,fmd,tokenizer,0.022338526297804185,3.203945363986659,3.36760787760665,240
oas,fmd,model,0.8718131650784827,3.203945363986659,3.36760787760665,240
oas,fmd,preprocess,0.0001529760704761183,3.203945363986659,3.36760787760665,240
oas,nfmd_trace,tokenizer,0.058149274478764244,0.1480752872033518,0.0333445737451918,240
oas,nfmd_trace,model,0.04730313104271913,0.1480752872033518,0.0333445737451918,240
oas,nfmd_trace,preprocess,0.0005853241414138605,0.1480752872033518,0.0333445737451918,240
