cov_method,tokenizer,model,remove_velocity,hard_quantization,pair,repeat,fmd,nfmd_trace
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,0,0.14339911051477838,0.18350802499875707
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,1,0.12954253083126444,0.16385347938277153
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,2,0.14495904534813764,0.1825040610871304
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,3,0.1501900324615134,0.1817339182721421
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,4,0.1363852974702766,0.17127916876433644
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,0,7.099202112482047,0.21091106222669553
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,1,6.733977997193701,0.1940806101597634
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,2,6.649382753140571,0.19318926080035298
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,3,6.58186967509053,0.19154960152367248
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,4,6.947190478724483,0.20190323207159933
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,0,7.149497010538468,0.18812646861987495
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,1,6.995756029232346,0.18471084666813525
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,2,7.064571711730466,0.18417962515421632
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,3,7.55459241745578,0.1970232764401826
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,4,6.918860764062714,0.1845172532819284
empirical,REMI,MusicBERT,False,False,rock_vs_country,0,7.017864587853879,0.22328215957392136
empirical,REMI,MusicBERT,False,False,rock_vs_country,1,6.902463575188424,0.21691587630511058
empirical,REMI,MusicBERT,False,False,rock_vs_country,2,7.159473384653776,0.23092388626803972
empirical,REMI,MusicBERT,False,False,rock_vs_country,3,7.065986544526627,0.22739155958427126
empirical,REMI,MusicBERT,False,False,rock_vs_country,4,6.726939330750021,0.21992679566776882
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,0,7.183523465681954,0.20052929455493057
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,1,7.604783041574315,0.21050911590296764
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,2,7.100313591200319,0.19539058839178503
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,3,7.483817991397508,0.20951728760659225
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,4,8.094994747774663,0.23530195603669718
empirical,REMI,MusicBERT,False,False,jazz_vs_country,0,5.8759470571282435,0.20763858347360117
empirical,REMI,MusicBERT,False,False,jazz_vs_country,1,5.946486346044001,0.21296751751617382
empirical,REMI,MusicBERT,False,False,jazz_vs_country,2,6.296694771117508,0.22251231888968678
empirical,REMI,MusicBERT,False,False,jazz_vs_country,3,5.818935945955268,0.20207799042340915
empirical,REMI,MusicBERT,False,False,jazz_vs_country,4,6.0817878902672255,0.22286508431232757
empirical,REMI,MusicBERT,False,False,electronic_vs_country,0,8.619920027783355,0.2709827771694867
empirical,REMI,MusicBERT,False,False,electronic_vs_country,1,8.41992454806839,0.2657717174794163
empirical,REMI,MusicBERT,False,False,electronic_vs_country,2,9.064823185703151,0.279896914830726
empirical,REMI,MusicBERT,False,False,electronic_vs_country,3,8.420992192532669,0.2633915631697563
empirical,REMI,MusicBERT,False,False,electronic_vs_country,4,8.88126535161085,0.276040831823192
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,0,5.460867936854072,0.17859626074825843
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,1,5.6491384909894435,0.1805737051916726
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,2,5.596773706597752,0.1767073393831635
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,3,5.428186547535756,0.17631859351790954
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,4,5.742953456487214,0.18245224740262214
empirical,REMI,MusicBERT,True,True,rock_vs_electronic,0,6.297715485922641,0.18118079818173585
empirical,REMI,MusicBERT,True,True,rock_vs_electronic,1,6.343129162505704,0.17754232801004008
empirical,REMI,MusicBERT,True,True,rock_vs_electronic,2,6.257410383024968,0.17908352377685358
empirical,REMI,MusicBERT,True,True,rock_vs_electronic,3,6.840689527474197,0.19184869135486254
empirical,REMI,MusicBERT,True,True,rock_vs_electronic,4,6.148983449424652,0.17649605444109714
empirical,REMI,MusicBERT,True,True,rock_vs_country,0,5.56599958182165,0.19690565053291842
empirical,REMI,MusicBERT,True,True,rock_vs_country,1,5.71567947381504,0.20246116249811205
empirical,REMI,MusicBERT,True,True,rock_vs_country,2,5.59570869766377,0.20320611558054794
empirical,REMI,MusicBERT,True,True,rock_vs_country,3,5.887800990723683,0.20739177826632127
empirical,REMI,MusicBERT,True,True,rock_vs_country,4,5.672156798374413,0.20391881316765798
empirical,REMI,MusicBERT,True,True,jazz_vs_electronic,0,5.959253175047618,0.18875862377537667
empirical,REMI,MusicBERT,True,True,jazz_vs_electronic,1,6.289117375700588,0.19166896607708409
empirical,REMI,MusicBERT,True,True,jazz_vs_electronic,2,6.097704742969444,0.1912179485874879
empirical,REMI,MusicBERT,True,True,jazz_vs_electronic,3,6.479935594530147,0.19674402570084143
empirical,REMI,MusicBERT,True,True,jazz_vs_electronic,4,6.64635676889052,0.19835597671571972
empirical,REMI,MusicBERT,True,True,jazz_vs_country,0,4.849875465297121,0.19491373557830985
empirical,REMI,MusicBERT,True,True,jazz_vs_country,1,5.094849380717417,0.20423469336728658
empirical,REMI,MusicBERT,True,True,jazz_vs_country,2,5.008520907598754,0.1903841723885744
empirical,REMI,MusicBERT,True,True,jazz_vs_country,3,4.786401619172256,0.18601425996245097
empirical,REMI,MusicBERT,True,True,jazz_vs_country,4,4.791920042589567,0.18993711857134585
empirical,REMI,MusicBERT,True,True,electronic_vs_country,0,7.680961371497329,0.2550809067471149
empirical,REMI,MusicBERT,True,True,electronic_vs_country,1,6.994200846096888,0.2357223435202973
empirical,REMI,MusicBERT,True,True,electronic_vs_country,2,7.086728526082126,0.24047479476701294
empirical,REMI,MusicBERT,True,True,electronic_vs_country,3,7.577015992319694,0.257955356769883
empirical,REMI,MusicBERT,True,True,electronic_vs_country,4,8.145483271656008,0.2642663835716382
empirical,Octuple,CLaMP-2,False,False,rock_vs_jazz,0,0.010557128182524356,0.09838920419374797
empirical,Octuple,CLaMP-2,False,False,rock_vs_jazz,1,0.011149918014685845,0.10639698395700475
empirical,Octuple,CLaMP-2,False,False,rock_vs_jazz,2,0.0113299232889979,0.11165029762480266
empirical,Octuple,CLaMP-2,False,False,rock_vs_jazz,3,0.011801015520716607,0.11071919091908052
empirical,Octuple,CLaMP-2,False,False,rock_vs_jazz,4,0.011732770269870907,0.12104047156389694
empirical,Octuple,CLaMP-2,False,False,rock_vs_electronic,0,0.011813431878095498,0.16237866668931916
empirical,Octuple,CLaMP-2,False,False,rock_vs_electronic,1,0.009639585920443311,0.12604517233698084
empirical,Octuple,CLaMP-2,False,False,rock_vs_electronic,2,0.008427100965748752,0.11323634629295377
empirical,Octuple,CLaMP-2,False,False,rock_vs_electronic,3,0.010387556387586677,0.13053363370499327
empirical,Octuple,CLaMP-2,False,False,rock_vs_electronic,4,0.011474014201386995,0.1577639896490435
empirical,Octuple,CLaMP-2,False,False,rock_vs_country,0,0.006780670853495541,0.09998828757810552
empirical,Octuple,CLaMP-2,False,False,rock_vs_country,1,0.009694702942427996,0.1383341970736056
empirical,Octuple,CLaMP-2,False,False,rock_vs_country,2,0.006670060885663021,0.09042852383781891
empirical,Octuple,CLaMP-2,False,False,rock_vs_country,3,0.008788985048142794,0.1228752253442786
empirical,Octuple,CLaMP-2,False,False,rock_vs_country,4,0.008575194418889515,0.12081838484558652
empirical,Octuple,CLaMP-2,False,False,jazz_vs_electronic,0,0.01767018268983611,0.18581339211051004
empirical,Octuple,CLaMP-2,False,False,jazz_vs_electronic,1,0.025025831229199463,0.22606111218141098
empirical,Octuple,CLaMP-2,False,False,jazz_vs_electronic,2,0.018286645246755995,0.1860765518197152
empirical,Octuple,CLaMP-2,False,False,jazz_vs_electronic,3,0.02538198754002363,0.23194028099519717
empirical,Octuple,CLaMP-2,False,False,jazz_vs_electronic,4,0.023258742637082386,0.2219149396077257
empirical,Octuple,CLaMP-2,False,False,jazz_vs_country,0,0.01996884163601681,0.19169288649172897
empirical,Octuple,CLaMP-2,False,False,jazz_vs_country,1,0.013394131582668806,0.144063374666673
empirical,Octuple,CLaMP-2,False,False,jazz_vs_country,2,0.013918352690733993,0.14495234709534047
empirical,Octuple,CLaMP-2,False,False,jazz_vs_country,3,0.0235244420934064,0.23396142488919222
empirical,Octuple,CLaMP-2,False,False,jazz_vs_country,4,0.01575826107746639,0.1664344044966235
empirical,Octuple,CLaMP-2,False,False,electronic_vs_country,0,0.0105471583268609,0.15882234506771475
empirical,Octuple,CLaMP-2,False,False,electronic_vs_country,1,0.010526819774481666,0.1485813208264834
empirical,Octuple,CLaMP-2,False,False,electronic_vs_country,2,0.009827439219488143,0.14587873194211232
empirical,Octuple,CLaMP-2,False,False,electronic_vs_country,3,0.009684004306561883,0.15212089007811622
empirical,Octuple,CLaMP-2,False,False,electronic_vs_country,4,0.010040099320629992,0.1495721721686068
empirical,Octuple,CLaMP-2,True,True,rock_vs_jazz,0,0.009195118603830266,0.0982586060007503
empirical,Octuple,CLaMP-2,True,True,rock_vs_jazz,1,0.008932246561425078,0.10893528120311916
empirical,Octuple,CLaMP-2,True,True,rock_vs_jazz,2,0.0100759320820073,0.11209957719670008
empirical,Octuple,CLaMP-2,True,True,rock_vs_jazz,3,0.008167907003271246,0.0805806041056499
empirical,Octuple,CLaMP-2,True,True,rock_vs_jazz,4,0.009968229887654001,0.10228604992916292
empirical,Octuple,CLaMP-2,True,True,rock_vs_electronic,0,0.015161191442543215,0.21958056987146715
empirical,Octuple,CLaMP-2,True,True,rock_vs_electronic,1,0.009237223152473412,0.12910326968364133
empirical,Octuple,CLaMP-2,True,True,rock_vs_electronic,2,0.009031497150276208,0.12811690722263994
empirical,Octuple,CLaMP-2,True,True,rock_vs_electronic,3,0.009981427140743265,0.13315903460106046
empirical,Octuple,CLaMP-2,True,True,rock_vs_electronic,4,0.01206923996790632,0.1705313065877777
empirical,Octuple,CLaMP-2,True,True,rock_vs_country,0,0.008284587385342379,0.11012074203708606
empirical,Octuple,CLaMP-2,True,True,rock_vs_country,1,0.008685090403126039,0.12344522297054702
empirical,Octuple,CLaMP-2,True,True,rock_vs_country,2,0.005128381355910816,0.07490478850573999
empirical,Octuple,CLaMP-2,True,True,rock_vs_country,3,0.008181656370832846,0.10899259421690409
empirical,Octuple,CLaMP-2,True,True,rock_vs_country,4,0.005523018522810952,0.0793449769983592
empirical,Octuple,CLaMP-2,True,True,jazz_vs_electronic,0,0.01228801241479105,0.15160470902181042
empirical,Octuple,CLaMP-2,True,True,jazz_vs_electronic,1,0.013128388944911168,0.15534083321504308
empirical,Octuple,CLaMP-2,True,True,jazz_vs_electronic,2,0.015237596259082165,0.18360790816944256
empirical,Octuple,CLaMP-2,True,True,jazz_vs_electronic,3,0.015816725611284888,0.18314664944334857
empirical,Octuple,CLaMP-2,True,True,jazz_vs_electronic,4,0.01721441846984567,0.187590394806203
empirical,Octuple,CLaMP-2,True,True,jazz_vs_country,0,0.011460067184315248,0.12354412173658896
empirical,Octuple,CLaMP-2,True,True,jazz_vs_country,1,0.011003548543351671,0.12244235393850955
empirical,Octuple,CLaMP-2,True,True,jazz_vs_country,2,0.014403408033558218,0.16068139492957934
empirical,Octuple,CLaMP-2,True,True,jazz_vs_country,3,0.011771050757705626,0.12930210179192
empirical,Octuple,CLaMP-2,True,True,jazz_vs_country,4,0.012111411057893429,0.12816462762441663
empirical,Octuple,CLaMP-2,True,True,electronic_vs_country,0,0.009444740915933114,0.14303059035087734
empirical,Octuple,CLaMP-2,True,True,electronic_vs_country,1,0.009806442812768212,0.14114642531062704
empirical,Octuple,CLaMP-2,True,True,electronic_vs_country,2,0.00910850461744983,0.14279414664289308
empirical,Octuple,CLaMP-2,True,True,electronic_vs_country,3,0.009089612679858111,0.14064058627578133
empirical,Octuple,CLaMP-2,True,True,electronic_vs_country,4,0.008986413766537665,0.13635855299871288
empirical,Octuple,MusicBERT,False,False,rock_vs_jazz,0,7.654874266994113,0.14071346838238133
empirical,Octuple,MusicBERT,False,False,rock_vs_jazz,1,7.756245169631754,0.1442646888045317
empirical,Octuple,MusicBERT,False,False,rock_vs_jazz,2,7.814111611769633,0.14248792796659293
empirical,Octuple,MusicBERT,False,False,rock_vs_jazz,3,7.063883600734897,0.12857814587400512
