dataset,configuration,perturbation,description,fmd_vs_original,fmd_boot_mean,fmd_ci_lower,fmd_ci_upper,noise_floor_mean,noise_floor_ci_upper,snr,perm_p_value,significant,n_original,n_perturbed,n_bootstrap,n_permutations
maestro,MusicBERT-REMI,no_velocity,Velocity → constant 64 (remove dynamics),7.3165931931216726,8.182306633494552,7.294469371359917,10.732091694196955,2.3146274684166146,4.4135348513651085,3.1610240926272217,0.004975124378109453,True,80,80,100,200
maestro,MusicBERT-REMI,quantized_time,Quantize to 16th notes (remove microtiming),0.10427430232738644,1.1324936949392734,0.7296397502364245,2.217139269301479,2.3146274684166146,4.4135348513651085,0.04505014467780345,1.0,False,80,80,100,200
maestro,MusicBERT-REMI,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.1482843517253798,1.0674881721710197,0.7546175242668091,1.8252163824021461,2.3146274684166146,4.4135348513651085,0.06406402488034839,1.0,False,80,80,100,200
maestro,MusicBERT-REMI,all_combined,All perturbations combined (total de-expression),7.627190867353797,8.352462598501399,7.527632339448051,9.426983025347885,2.3146274684166146,4.4135348513651085,3.2952131483047635,0.004975124378109453,True,80,80,100,200
maestro,MusicBERT-TSD,no_velocity,Velocity → constant 64 (remove dynamics),3.1343086724987312,3.915319180232248,3.386925001906269,5.348126376484135,2.3224624859742007,4.943703091985396,1.3495626695489922,0.009950248756218905,True,80,80,100,200
maestro,MusicBERT-TSD,quantized_time,Quantize to 16th notes (remove microtiming),0.2585247058893767,1.2036352875923289,0.7176643937740448,2.3152550798533005,2.3224624859742007,4.943703091985396,0.11131491141435322,1.0,False,80,80,100,200
maestro,MusicBERT-TSD,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.32930921664991786,1.3227538543910253,0.6417760108989671,2.871743908876629,2.3224624859742007,4.943703091985396,0.14179312632116978,1.0,False,80,80,100,200
maestro,MusicBERT-TSD,all_combined,All perturbations combined (total de-expression),3.96130561496331,4.762218148211058,3.8441388166119004,6.011350844191489,2.3224624859742007,4.943703091985396,1.7056489131197594,0.009950248756218905,True,80,80,100,200
maestro,CLaMP2-MTF,no_velocity,Velocity → constant 64 (remove dynamics),0.046447030447612114,0.05969052712588024,0.04990204534917803,0.07426122920972973,0.039239489780051866,0.06967509330728756,1.1836807947289962,0.01990049751243781,True,80,80,100,200
maestro,CLaMP2-MTF,quantized_time,Quantize to 16th notes (remove microtiming),0.025945296010335295,0.03980496037419389,0.03384821972961576,0.05539559639597222,0.039239489780051866,0.06967509330728756,0.6612037046293369,0.07960199004975124,False,80,80,100,200
maestro,CLaMP2-MTF,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.004962293832049214,0.01919165856212242,0.013210478164903136,0.029916749325737395,0.039239489780051866,0.06967509330728756,0.12646173178765158,1.0,False,80,80,100,200
maestro,CLaMP2-MTF,all_combined,All perturbations combined (total de-expression),0.06084541388225806,0.07167274579752793,0.06456534642091598,0.08746641385161157,0.039239489780051866,0.06967509330728756,1.550616846022039,0.004975124378109453,True,80,80,100,200
maestro,CLaMP1-ABC,no_velocity,Velocity → constant 64 (remove dynamics),0.0,0.02442065570220259,0.017196302182696396,0.035608665799812145,0.05632665605623612,0.07323341577049083,0.0,1.0,False,80,80,100,200
maestro,CLaMP1-ABC,quantized_time,Quantize to 16th notes (remove microtiming),0.007247137701562489,0.02964449405228196,0.021362627834446486,0.03808926452533077,0.05632665605623612,0.07323341577049083,0.1286626654052923,1.0,False,80,80,100,200
maestro,CLaMP1-ABC,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.0020388660237778966,0.02557581413966643,0.017372971169677624,0.038484894541623675,0.05632665605623612,0.07323341577049083,0.03619717850358998,1.0,False,80,80,100,200
maestro,CLaMP1-ABC,all_combined,All perturbations combined (total de-expression),0.009451362258100837,0.03365701922082072,0.023787263156510696,0.049019351697378546,0.05632665605623612,0.07323341577049083,0.16779555045242994,1.0,False,80,80,100,200
maestro,CLaMP2-ABC,no_velocity,Velocity → constant 64 (remove dynamics),0.0,0.08507543614471638,0.060826677160564765,0.12145702957211427,0.1987621995015793,0.2688290577384417,0.0,1.0,False,80,80,100,200
maestro,CLaMP2-ABC,quantized_time,Quantize to 16th notes (remove microtiming),0.04383216301459625,0.12599715880321657,0.09359823466489095,0.16810163830267486,0.1987621995015793,0.2688290577384417,0.22052564886336937,1.0,False,80,80,100,200
maestro,CLaMP2-ABC,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.03928301271666812,0.11511313596186301,0.08323207462642337,0.15323109847132918,0.1987621995015793,0.2688290577384417,0.19763824718772036,1.0,False,80,80,100,200
maestro,CLaMP2-ABC,all_combined,All perturbations combined (total de-expression),0.08228458100395697,0.1510173947963395,0.11389888687003273,0.19471868844106302,0.1987621995015793,0.2688290577384417,0.41398505958525156,0.9701492537313433,False,80,80,100,200
