configuration,dataset_a,dataset_b,n_resamples,sample_size_a,sample_size_b,fmd_mean,fmd_std,fmd_ci_lower,fmd_ci_upper,cv
MusicBERT-REMI,maestro,pop909,50,80,80,3.5109629113723453,0.5313785984835803,2.6619985650640743,4.6370057786737116,0.15134839412925555
MusicBERT-TSD,maestro,pop909,50,80,80,3.9238448439234457,0.7910023442833286,2.741682480038621,5.473181036380728,0.20158858867936447
CLaMP2-MTF,maestro,pop909,50,80,80,0.04779134873184874,0.0067112799180030465,0.03912242603756312,0.06004522616817522,0.14042876160828177
CLaMP1-ABC,maestro,pop909,50,80,80,0.02383104435743035,0.002629466902938207,0.019290653649551966,0.02959445613622186,0.11033787959520784
