dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
maestro,MusicBERT-REMI,__retest__,maestro_0098.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0099.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_01.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0100.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0101.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0103.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0104.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0105.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0108.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0111.mid,1.7881393432617188e-07,0.004077732563018799,4.385131480858901e-05
maestro,MusicBERT-REMI,__retest__,maestro_0112.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0113.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0117.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0118.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0120.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0121.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0122.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0123.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0128.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0129.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0130.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0131.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0137.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0139.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0142.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0143.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0145.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_02.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_05.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_08.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,no_velocity,maestro_0004.mid,0.004337608814239502,0.004077732563018799,1.063730577521816
maestro,MusicBERT-REMI,no_velocity,maestro_0006.mid,0.005945384502410889,0.004077732563018799,1.458012366070776
maestro,MusicBERT-REMI,no_velocity,maestro_0007.mid,0.003430962562561035,0.004077732563018799,0.8413897943373335
maestro,MusicBERT-REMI,no_velocity,maestro_0009.mid,0.0036313533782958984,0.004077732563018799,0.8905325011328257
maestro,MusicBERT-REMI,no_velocity,maestro_0010.mid,0.00933372974395752,0.004077732563018799,2.288950930378729
maestro,MusicBERT-REMI,no_velocity,maestro_0011.mid,0.004671692848205566,0.004077732563018799,1.1456594506891964
maestro,MusicBERT-REMI,no_velocity,maestro_0016.mid,0.004164218902587891,0.004077732563018799,1.0212094192624208
maestro,MusicBERT-REMI,no_velocity,maestro_0017.mid,0.006303906440734863,0.004077732563018799,1.545934252261997
maestro,MusicBERT-REMI,no_velocity,maestro_0018.mid,0.004410684108734131,0.004077732563018799,1.0816511481735926
maestro,MusicBERT-REMI,no_velocity,maestro_0019.mid,0.004452943801879883,0.004077732563018799,1.092014675573356
maestro,MusicBERT-REMI,no_velocity,maestro_0020.mid,0.00462573766708374,0.004077732563018799,1.1343896627833892
maestro,MusicBERT-REMI,no_velocity,maestro_0024.mid,0.0030627846717834473,0.004077732563018799,0.7510999371464487
maestro,MusicBERT-REMI,no_velocity,maestro_0027.mid,0.0031064748764038086,0.004077732563018799,0.7618142750646807
maestro,MusicBERT-REMI,no_velocity,maestro_0031.mid,0.005304694175720215,0.004077732563018799,1.3008931051116015
maestro,MusicBERT-REMI,no_velocity,maestro_0034.mid,0.004058361053466797,0.004077732563018799,0.9952494408957362
maestro,MusicBERT-REMI,no_velocity,maestro_0035.mid,0.004790902137756348,0.004077732563018799,1.1748936605615892
maestro,MusicBERT-REMI,no_velocity,maestro_0036.mid,0.007470369338989258,0.004077732563018799,1.8319909958633593
maestro,MusicBERT-REMI,no_velocity,maestro_0042.mid,0.004269003868103027,0.004077732563018799,1.0469062897402541
maestro,MusicBERT-REMI,no_velocity,maestro_0044.mid,0.004807710647583008,0.004077732563018799,1.1790156841535966
