dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
pop909,MusicBERT-REMI,__retest__,pop909_0099.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_01.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0100.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0101.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0103.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0104.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0105.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0108.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0111.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0112.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0113.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0117.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0118.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0120.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0121.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0122.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0123.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0128.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0129.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0130.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0131.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0137.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0139.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0142.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0143.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0145.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_02.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_05.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_08.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,no_velocity,pop909_0004.mid,0.0055141448974609375,0.003873884677886963,1.423414829289308
pop909,MusicBERT-REMI,no_velocity,pop909_0006.mid,0.0054798126220703125,0.003873884677886963,1.414552336405459
pop909,MusicBERT-REMI,no_velocity,pop909_0007.mid,0.00491940975189209,0.003873884677886963,1.269890603603465
pop909,MusicBERT-REMI,no_velocity,pop909_0009.mid,0.004748642444610596,0.003873884677886963,1.2258089332697368
pop909,MusicBERT-REMI,no_velocity,pop909_0010.mid,0.005587220191955566,0.003873884677886963,1.4422783992122228
pop909,MusicBERT-REMI,no_velocity,pop909_0011.mid,0.005190908908843994,0.003873884677886963,1.3399750742387642
pop909,MusicBERT-REMI,no_velocity,pop909_0016.mid,0.008070886135101318,0.003873884677886963,2.083408982505808
pop909,MusicBERT-REMI,no_velocity,pop909_0017.mid,0.003995239734649658,0.003873884677886963,1.0313264505408275
pop909,MusicBERT-REMI,no_velocity,pop909_0018.mid,0.005693972110748291,0.003873884677886963,1.4698352130229408
pop909,MusicBERT-REMI,no_velocity,pop909_0019.mid,0.010273456573486328,0.003873884677886963,2.65197790531288
pop909,MusicBERT-REMI,no_velocity,pop909_0020.mid,0.006580054759979248,0.003873884677886963,1.6985675380425584
pop909,MusicBERT-REMI,no_velocity,pop909_0024.mid,0.005653440952301025,0.003873884677886963,1.4593725478128414
pop909,MusicBERT-REMI,no_velocity,pop909_0027.mid,0.007215380668640137,0.003873884677886963,1.862569815210869
pop909,MusicBERT-REMI,no_velocity,pop909_0031.mid,0.004405081272125244,0.003873884677886963,1.1371224593417752
pop909,MusicBERT-REMI,no_velocity,pop909_0034.mid,0.006859302520751953,0.003873884677886963,1.7706522240856708
pop909,MusicBERT-REMI,no_velocity,pop909_0035.mid,0.006673216819763184,0.003873884677886963,1.7226162817534196
